SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site12,BA,Sarajevo,0,0,0,0,0,0,0,0,0,0
site13,BE,Antwerp Deurne,5.19,6.51,6.1,10.32,6.89,5.29,6.18,5.96,7.15,6.64
site14,BE,Antwerp Zuid,5.51,4.56,3.63,6.78,7.66,7.48,4.72,4.93,6.39,5.76
site17,BE,Brussels,1.42,1.57,1.51,0.98,1.44,2.63,2.42,1.8,1.64,1.71
site18,BE,Geraardsbergen,0,,0,0,0,0,0,0,0,0
site19,BE,Koksijde,0,0,0,0,0,0,0,0,0,0
site21,BE,Ninove,0,0,0,0,0,0,0,0,0,0
site24,CH,Basel,15.49,17.18,2.58,14.8,18.85,3.17,18.51,17.06,9.85,12.94
site25,CH,Berne,15.11,16.42,18.78,14.88,15.22,13.33,18.3,16.61,15.56,16.01
site26,CH,Geneva,0,0,0,0,0,0,,0,0,0
site29,CH,St. Gallen Hofen,6.85,5.94,8.05,7.22,5.2,5.02,5.25,6.01,6.37,6.22
site30,CH,Zurich,16.78,21.26,19.72,20.64,3.03,18.43,17.09,18.38,15.46,16.71
site31,CY,Limassol,3.32,4.88,3.93,3.14,2.68,3.48,2.88,3.7,3.31,3.48
site32,CY,Nicosia,1.12,2.02,1.28,1.3,1.59,1.58,1.62,1.59,1.44,1.5
site34,CZ,Budweis,184.77,209.01,247.9,252.87,214.4,197.21,200.86,198.21,228.1,215.29
site37,CZ,Prague,308.91,310.6,325.79,350.64,322.79,317.9,349.58,323.03,329.28,326.6
site40,DE,Dortmund,0,0,0,0,0,0,0,0,0,0
site41,DE,Dresden,145.37,171.49,129.88,137.78,134.55,130.97,106.24,141.03,133.3,136.61
site42,DE,Dülmen,0,0,0,0,0,0,0,0,0,0
site54,DK,Copenhagen,9.98,9.61,10.7,8.41,10.67,9.89,,9.6,9.92,9.78
site55,ES,Barcelona,24.83,28.32,28.48,25,25.66,28.4,24.92,26.02,26.88,26.51
site56,ES,Castellon,0,0,0,0,0,0,0,0,0,0
site59,ES,Santiago,0,0,0,0,0,0,0,0,0,0
site60,ES,Valencia (3),1.02,1,0.96,1.02,1.42,1.47,1.24,1.08,1.22,1.16
site90,FR,Paris Seine Centre,3.33,4.89,3.65,4.47,4.14,3.32,4.2,4.14,3.9,4
site93,GB,London,2.01,2.19,2.03,15.33,11.95,17.09,12.11,5.44,11.6,8.96
site94,GR,Athens,3.9,5.65,4.68,5,4.35,4.67,5.09,4.88,4.67,4.76
site101,IT,Milan,5.06,5.01,5.3,7.36,8.38,6.27,4.13,4.73,6.83,5.93
site107,NL,Amsterdam,3.86,3.2,11.66,5.87,3.13,4.27,4.66,3.91,6.23,5.24
site108,NL,Eindhoven,0,0,0,0,0,0,0,0,0,0
site111,NL,Utrecht,0,0,0,0,0,0,0,0,0,0
site112,NO,Oslo,74.57,69.31,129,139.32,124.92,112.39,105.8,83.23,126.41,107.9
site115,PT,Lisbon,0,0,,0,0,0,0,0,0,0
site117,RO,Cluj Napoca,0,0,0,0,0,0,0,0,0,0
site118,RS,Belgrade,0,0,0,0,0,0,0,0,0,0
site119,RS,Novi Sad,,0,0,0,0,0,0,0,0,0
site120,SE,Gothenburg,0,0,0,0,0,0,0,0,0,0
site125,SE,Umea,0,0,0,0,0,0,0,0,0,0
site133,SK,Bratislava (2),127.92,145.18,148.28,173.81,192.05,178.2,180.96,97.82,181.25,163.77
site134,SK,Piestany,163.44,127.61,113.43,125.66,119.25,109.01,108.2,133.08,116.84,123.8
