SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site3,AT,Innsbruck,8.75,8.45,10.84,21.47,16.05,12.67,8.9,8.7,15.26,12.45
site13,BE,Antwerp Deurne,90.29,85.14,80.01,100.98,101.18,86.11,89.47,88.3,92.07,90.45
site14,BE,Antwerp Zuid,185.52,162.38,173.38,213.18,291.26,189.3,179.86,175.92,216.78,199.27
site17,BE,Brussels,34.49,30.97,31.18,36.2,48.06,38.82,38.09,34.52,38.56,36.83
site19,BE,Koksijde,38.23,21.02,29.88,32.83,89.91,32.17,30.84,30.03,46.2,39.27
site22,BE,Oostende,163.21,161.55,189.11,195,254.37,144.81,144.82,156.53,195.82,178.98
site24,CH,Basel,28.59,25.71,27.83,31.32,29.31,26.96,22.1,25.47,28.85,27.4
site25,CH,Berne,27.54,20.4,20.48,23.73,26.44,24.8,25.79,24.58,23.86,24.17
site26,CH,Geneva,10.4,5.55,15.07,6.45,5.96,,15.7,10.55,9.16,9.86
site28,CH,Lugano,0,0,0,0,0,0,0,0,0,0
site29,CH,St. Gallen Hofen,28.68,28.46,36.06,46.93,39.77,27.32,24.39,27.17,37.52,33.09
site30,CH,Zurich,24.86,27.49,29.65,43.06,47.57,40.63,32.27,28.21,40.23,35.08
site31,CY,Limassol,13.04,7.42,5.23,6.11,7.31,6.84,10.55,10.34,6.37,8.07
site32,CY,Nicosia,1.51,1.75,3.42,4.29,5.63,3.89,7.14,3.47,4.31,3.95
site34,CZ,Budweis,24.49,15.93,16.91,25.41,22.15,27.82,18.09,19.5,23.07,21.54
site40,DE,Dortmund,184.88,179.24,147.2,182.1,157.51,100.25,101.51,155.21,146.77,150.39
site41,DE,Dresden,20.41,20.2,22.29,28.21,24.69,21.08,21.54,20.72,24.07,22.63
site42,DE,Dülmen,110.21,149.13,199.6,206.08,226.85,185.26,161.65,140.33,204.45,176.97
site49,DE,Munich Gut_Grosslappen,22.51,26.08,34.99,28.71,23.13,26,21.77,23.45,28.21,26.17
site55,ES,Barcelona,46.88,52.06,41.56,43.12,50.44,42.86,42.56,47.16,44.5,45.64
site56,ES,Castellon,0,0,0,0,0,0,0,0,0,0
site58,ES,Molina de Segura,0,0,0,0,0,0,0,0,0,0
site59,ES,Santiago,0,0,0,0,0,0,0,0,0,0
site60,ES,Valencia (3),6.03,6,7.14,9.48,9.8,6,7.89,6.64,8.1,7.48
site61,FI,Espoo,62.34,57.13,66.58,88.93,93.28,74.29,60.38,59.95,80.77,71.85
site62,FI,Helsinki,85.52,88.55,93.91,126.17,132.11,98.88,80.27,84.78,112.77,100.77
site64,FI,Joensuu,22.42,27.57,35.32,36.8,37.16,29.01,30.48,26.82,34.57,31.25
site65,FI,Jyväskylä,17.96,14.61,17.23,20.96,50.35,53.25,23.48,18.68,35.45,28.26
site69,FI,Kotka,82.47,71.93,67.93,87.24,95.16,87.77,69.35,74.59,84.53,80.27
site71,FI,Kuopio,21.24,18.18,25.79,46.24,58.82,47.24,47.62,29.01,44.52,37.87
site72,FI,Lahti,139.82,113.28,129.72,80,127.47,128.49,120.22,124.44,116.42,119.86
site73,FI,Lappeenranta,34.56,36.67,41.06,55.76,52.81,33.75,26.23,32.49,45.84,40.12
site76,FI,Oulu,40.22,32.37,38.17,30.54,31.52,29.43,25.82,32.8,32.42,32.58
site80,FI,Rovaniemi,64.35,70.33,81.21,95.83,91.19,60.75,54.11,62.93,82.24,73.97
site82,FI,Savonlinna,11.9,11.6,11.28,20.73,17.95,12.25,10.62,11.37,15.55,13.76
site84,FI,Tampere,71.96,75.87,83.91,88.09,88.25,73.73,65.55,71.13,83.49,78.19
site85,FI,Turku,57.29,78.23,64.11,85.56,89.46,69.09,60.46,65.33,77.06,72.03
site86,FI,Vaasa,29.71,30.15,27.13,34.58,26.58,27.31,32.47,30.78,28.9,29.7
site88,FR,Bordeaux I,0,0,0,0,0,0,0,0,0,0
site90,FR,Paris Seine Centre,0,0,0,0,0,0,0,0,0,0
site92,GB,Bristol,59.51,80.14,96.27,90.9,160.5,99.71,152.26,97.3,111.84,105.61
site94,GR,Athens,4.19,3.73,2.46,7.93,2.96,5.85,5.16,4.36,4.8,4.61
site98,HR,Zagreb,40.41,41.31,43.44,83.58,137.33,74.83,84.72,55.48,84.79,72.23
site99,IS,Reykjavik Klettagarðar,101.62,128.5,127.18,105.75,128.77,128.64,71.51,100.54,122.59,113.14
site101,IT,Milan,0,0,0,0,0,0,0,0,0,0
site111,NL,Utrecht,73.09,106.73,116.01,111.86,99.69,111.73,66.46,82.09,109.82,97.94
site112,NO,Oslo,130.54,115.1,104.56,,,111.38,116.35,120.67,107.97,115.59
site114,PT,Almada,0,0,0,0,0,0,0,0,0,0
site115,PT,Lisbon,4.88,2.96,3.17,2.94,2.16,2.09,5.1,4.31,2.59,3.33
site116,PT,Porto,0,0,0,0,0,0,0,0,0,0
site123,SE,Stockholm (2),226.45,195.3,208.99,219.42,227.11,202.93,181.72,201.16,214.61,208.84
site133,SK,Bratislava (2),69.95,60.33,46.79,61.69,80.2,56.31,87.12,72.47,61.25,66.06
site134,SK,Piestany,29.34,26.44,19.67,44.75,38.85,29.71,27.5,27.76,33.24,30.89
