SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site3,AT,Innsbruck,2.56,1.85,1.63,1.83,1.96,2.85,1.37,1.93,2.07,2.01
site13,BE,Antwerp Deurne,3.58,3.67,3.35,3.42,3.5,3.3,3.17,3.47,3.39,3.43
site14,BE,Antwerp Zuid,7.52,6.65,8.64,9.19,13.2,9.95,9.57,7.91,10.25,9.25
site17,BE,Brussels,2.47,3.14,3.14,4.48,4.71,4.94,4,3.2,4.32,3.84
site19,BE,Koksijde,0,0,0,0,0,0,0,0,0,0
site22,BE,Oostende,0,0,0,0,0,0,0,0,0,0
site24,CH,Basel,20.43,21.36,17.44,18.03,17.54,19.08,18.87,20.22,18.02,18.97
site25,CH,Berne,10.27,9.71,8.18,7.86,7.18,8.4,7.94,9.31,7.9,8.51
site26,CH,Geneva,8.01,7.39,7.46,6.54,5.88,,5.9,7.1,6.63,6.86
site28,CH,Lugano,0.65,0.26,0.24,0.77,0.22,0.23,0.23,0.38,0.37,0.37
site29,CH,St. Gallen Hofen,3,2.73,3.31,2.86,1.55,2.14,1.75,2.49,2.46,2.48
site30,CH,Zurich,23.03,25.15,25.02,26.33,25.3,26.41,25.74,24.64,25.77,25.28
site31,CY,Limassol,17.21,15.93,15.58,7.75,10.35,13.45,18.04,17.06,11.78,14.04
site32,CY,Nicosia,3.3,8.64,13.77,12.78,12.62,13.11,12.11,8.02,13.07,10.91
site34,CZ,Budweis,274.92,206.48,247.88,287.26,272.39,313.75,230.63,237.34,280.32,261.9
site40,DE,Dortmund,6.11,4.08,3.31,3.45,3.02,2.49,3.65,4.61,3.07,3.73
site41,DE,Dresden,135.18,135.34,137.3,150.88,128.63,132.86,136.65,135.72,137.42,136.69
site42,DE,Dülmen,1.94,2.14,8.92,2.12,2.53,3.3,3.78,2.62,4.22,3.53
site49,DE,Munich Gut_Grosslappen,13.2,13.1,50.07,39.92,14.48,25.98,16.87,14.39,32.61,24.8
site55,ES,Barcelona,25.23,21.29,23.73,27.17,24.32,24.36,22.27,22.93,24.89,24.05
site56,ES,Castellon,0,0,0,0,0,0,0,0,0,0
site58,ES,Molina de Segura,0,0,0,0,0,0,0,0,0,0
site59,ES,Santiago,0,0,0,0,0,0,0,0,0,0
site60,ES,Valencia (3),0.66,0.93,1.04,0.88,1,0.94,0.95,0.85,0.97,0.91
site61,FI,Espoo,99.05,93.78,93.53,103.89,92.84,76.9,66.69,86.5,91.79,89.53
site62,FI,Helsinki,77.95,82.1,88.65,89.75,87.07,91.22,67.04,75.7,89.17,83.4
site64,FI,Joensuu,2.22,3.4,2.05,1.79,1.93,2.22,1.3,2.31,2,2.13
site65,FI,Jyväskylä,63.76,52.75,58.54,69.95,61.5,67.03,72.26,62.92,64.25,63.68
site69,FI,Kotka,4.68,6.62,9.87,13.7,26.45,14.78,6.26,5.85,16.2,11.76
site71,FI,Kuopio,37.1,29.71,43.04,40.35,35.07,24.99,19.12,28.65,35.86,32.77
site72,FI,Lahti,6.28,5.15,2.32,1.84,4.59,2.13,3.98,5.14,2.72,3.76
site73,FI,Lappeenranta,6.56,4.82,2.87,2.68,1.04,0.72,0.85,4.08,1.83,2.79
site76,FI,Oulu,8.3,7.88,14.07,7.15,13.94,16.35,16.62,10.93,12.88,12.04
site80,FI,Rovaniemi,12.71,15.76,7.97,9.78,6.74,9.58,5.29,11.25,8.52,9.69
site82,FI,Savonlinna,5.1,5.06,6.06,20.6,46.22,36.04,38.54,16.23,27.23,22.52
site84,FI,Tampere,4.85,5.08,3.35,5,4.34,3.51,2.38,4.11,4.05,4.07
site85,FI,Turku,38.17,30.64,29.62,28.88,25.39,20.72,15.48,28.1,26.15,26.98
site86,FI,Vaasa,1.1,1.19,0.9,2.4,2.79,3.71,3.18,1.82,2.45,2.18
site88,FR,Bordeaux I,0,0,0,0,0,0,0,0,0,0
site90,FR,Paris Seine Centre,0,0,0,0,0,0,0,0,0,0
site92,GB,Bristol,0,0,0,0,0,0,0,0,0,0
site94,GR,Athens,1.91,3.11,2.76,2.82,3.87,2.9,3.43,2.82,3.09,2.97
site98,HR,Zagreb,0,0,0,0,0,0,0,0,0,0
site99,IS,Reykjavik Klettagarðar,7.49,6.08,11.27,8.08,11.03,12.86,8.06,7.21,10.81,9.27
site101,IT,Milan,14.32,13.49,12.54,14.21,14.29,14.56,13,13.6,13.9,13.77
site108,NL,Eindhoven,0.14,2.85,0.14,0.13,0.12,12.64,0.14,1.04,3.26,2.31
site111,NL,Utrecht,0,0,0,0,0,0,0,0,0,0
site112,NO,Oslo,50.48,50.73,70.48,,,65.63,53.94,51.72,68.05,58.25
site114,PT,Almada,0.53,1.22,0.7,0.67,0.67,0.74,0.87,0.87,0.69,0.77
site115,PT,Lisbon,0,0,0,0,0,0,0,0,0,0
site116,PT,Porto,0.27,0.3,0.44,0.37,0.81,0.36,1,0.52,0.5,0.51
site123,SE,Stockholm (2),21.22,23.29,19.52,23.09,28.01,28.4,27.79,24.1,24.75,24.47
site133,SK,Bratislava (2),744.56,613.98,469.49,667.5,791.59,630.78,784.5,714.35,639.84,671.77
site134,SK,Piestany,263.03,266.96,186.87,466.94,396.25,303.42,288.02,272.67,338.37,310.21
