SiteID,country,city,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
site5,AT,Klosterneuburg,0,0,0,0,0,0,0,0,0,0
site13,BE,Antwerp Deurne,145.2,145.84,136.33,144.61,144.01,137.05,154.52,148.52,140.5,143.94
site14,BE,Antwerp Zuid,247.21,257.21,263.74,188.68,275.43,250.08,270.2,258.21,244.48,250.36
site17,BE,Brussels,47.12,49.42,56.08,62.28,75.96,67.21,49.86,48.8,65.38,58.28
site18,BE,Geraardsbergen,179.1,246.62,203.47,210.47,229.26,214.73,216.41,214.04,214.48,214.29
site19,BE,Koksijde,44.95,41.09,44.14,36.15,45,38.61,33.28,39.78,40.98,40.46
site21,BE,Ninove,105.75,115.52,120.8,122.85,151.01,104.39,112.97,111.41,124.77,119.04
site22,BE,Oostende,174.14,157.49,159.25,188.63,209.11,177.54,169.9,167.18,183.63,176.58
site24,CH,Basel,49.42,49.78,49.77,4.33,32.44,41.13,49.63,49.61,31.92,39.5
site25,CH,Berne,19.7,20.24,20.8,39.03,31.73,27.93,23.6,21.18,29.87,26.15
site26,CH,Geneva,7.42,6.33,6.03,6.73,5.87,4.35,5.16,6.3,5.74,5.98
site27,CH,Lausanne,8.06,8.25,13.3,12.28,11.3,9.68,11.34,9.22,11.64,10.6
site28,CH,Lugano,0,0,0,0,0,0,0,0,0,0
site29,CH,St. Gallen Hofen,31.05,31.02,42.07,37.66,26.6,24.32,25.7,29.26,32.66,31.2
site30,CH,Zurich,21.63,18.77,20.76,25.36,37.33,22.86,20.72,20.37,26.58,23.92
site31,CY,Limassol,5.9,5.16,8.48,5.62,6.1,5.31,5.95,5.67,6.38,6.07
site32,CY,Nicosia,1.15,1.8,1.13,2.63,1.69,1.36,1.1,1.35,1.7,1.55
site34,CZ,Budweis,17.54,19.94,19.6,18.92,14.71,21.73,17.11,18.2,18.74,18.51
site38,DE,Berlin (4),119.31,110.03,110.38,109.84,133.97,130.42,140.88,123.41,121.15,122.12
site40,DE,Dortmund,159.54,151.53,164.78,190.77,187.91,148.21,141.02,150.7,172.92,163.4
site41,DE,Dresden,10.01,9.73,10.36,20.15,25.23,24.18,21.85,13.87,19.98,17.36
site42,DE,Dülmen,41.55,44.53,46.22,99.54,77.21,63.86,,43.04,71.71,62.15
site49,DE,Munich Gut_Grosslappen,0,,0,0,,0,0,0,0,0
site54,DK,Copenhagen,8.12,8.24,8.04,7.91,7.93,55.01,7.5,8.13,19.59,14.68
site55,ES,Barcelona,45.89,26.54,30.72,31.11,28.44,27.61,21.44,31.29,29.47,30.25
site56,ES,Castellon,0,0,0,0,0,0,0,0,0,0
site58,ES,Molina de Segura,0,0,0,0,0,0,0,0,0,0
site59,ES,Santiago,0,0,0,0,0,0,0,0,0,0
site60,ES,Valencia (3),9.58,9.9,12.62,11.69,14.24,20.35,13.68,11.05,14.72,13.15
site61,FI,Espoo,67.78,72.36,69.63,106.56,114.47,90.93,74.13,71.43,95.4,85.12
site62,FI,Helsinki,94.92,98.28,113.03,143.99,144.89,117.62,106.95,100.05,129.88,117.1
site84,FI,Tampere,49.38,40,48.4,67.35,65.23,64.87,37.28,42.22,61.46,53.22
site85,FI,Turku,68.25,70.06,72.92,101.86,98.46,93.33,86.43,74.91,91.64,84.47
site90,FR,Paris Seine Centre,0,0,0,0,0,0,0,0,0,0
site92,GB,Bristol,87.41,83.58,75.19,85.78,89.6,76.59,80.3,82.06,83.07,82.64
site93,GB,London,0,0,0,0,0,0,0,0,0,0
site94,GR,Athens,5.05,9.98,10.03,13.08,11.95,10.56,12.37,9.14,11.4,10.43
site96,GR,Mytilene,0,0,0,0,0,0,0,0,0,0
site98,HR,Zagreb,170.15,159.52,46.2,46.13,50.98,35.44,28.67,119.45,44.69,76.73
site99,IS,Reykjavik Klettagarðar,76,76.72,95.89,68.11,60.05,61.67,54.2,68.97,71.43,70.38
site101,IT,Milan,1.88,1.8,3.62,1.79,1.8,3.39,4.76,2.43,2.93,2.72
site106,MT,Malta,3.52,5.94,2.6,3.82,2.79,3.14,4.2,4.55,3.09,3.72
site107,NL,Amsterdam,17.57,55.22,106.7,91.34,65.18,16.1,61.3,44.69,69.83,59.06
site111,NL,Utrecht,49.43,30.16,40.48,49.02,14.59,16.23,55.13,44.91,30.08,36.43
site112,NO,Oslo,136.98,129.02,136.66,142.17,91.42,131.31,88.57,118.19,125.39,122.3
site114,PT,Almada,1.88,1.82,1.57,1.22,2.35,3.09,1.27,1.76,1.98,1.89
site115,PT,Lisbon,0.75,0.76,0.76,3.99,7.38,5.7,3.25,1.59,4.46,3.23
site116,PT,Porto,0,0,0,0,0,0,0,0,0,0
site133,SK,Bratislava (2),25.27,22.75,21.31,21.91,32.83,25.05,25.91,23.11,26.43,25
site134,SK,Piestany,15.53,12.43,22.95,29.58,31.91,33.64,17.32,15.1,29.52,23.34
